"precinct","population.size","voted.democrat","voted.republican","year"
1,853,442,411,2012
2,1330,714,616,2012
3,1275,724,551,2012
4,1084,589,495,2012
5,695,390,305,2012
6,1205,660,545,2012
7,1143,631,512,2012
8,1084,590,494,2012
9,928,517,411,2012
10,790,418,372,2012
11,852,496,356,2012
12,949,543,406,2012
13,935,507,428,2012
14,789,418,371,2012
15,1129,607,522,2012
16,1079,589,490,2012
17,1144,629,515,2012
18,1175,646,529,2012
19,974,550,424,2012
20,540,312,228,2012
21,1095,620,475,2012
22,1228,681,547,2012
23,819,442,377,2012
24,851,494,357,2012
25,882,481,401,2012
26,982,563,419,2012
27,811,412,399,2012
28,693,386,307,2012
29,1159,624,535,2012
30,857,450,407,2012
31,1272,693,579,2012
32,1122,618,504,2012
33,874,492,382,2012
34,860,477,383,2012
35,1077,597,480,2012
36,811,446,365,2012
37,705,369,336,2012
38,1186,620,566,2012
39,954,509,445,2012
40,1013,564,449,2012
41,892,502,390,2012
42,985,546,439,2012
43,700,397,303,2012
44,1058,541,517,2012
45,1162,612,550,2012
46,974,519,455,2012
47,1067,569,498,2012
48,974,560,414,2012
49,959,546,413,2012
50,1079,591,488,2012
51,987,537,450,2012
52,811,435,376,2012
53,654,349,305,2012
54,1301,692,609,2012
55,982,539,443,2012
56,1591,892,699,2012
57,1059,573,486,2012
58,787,426,361,2012
59,996,529,467,2012
60,733,395,338,2012
61,1027,572,455,2012
62,957,523,434,2012
63,962,522,440,2012
64,844,473,371,2012
65,1234,679,555,2012
66,1143,664,479,2012
67,891,473,418,2012
68,1145,592,553,2012
69,1057,554,503,2012
70,1262,696,566,2012
71,906,487,419,2012
72,1125,620,505,2012
73,1226,706,520,2012
74,757,399,358,2012
75,1284,722,562,2012
76,1158,652,506,2012
77,1308,737,571,2012
78,1081,616,465,2012
79,657,369,288,2012
80,1018,549,469,2012
81,1193,656,537,2012
82,1158,619,539,2012
83,834,464,370,2012
84,781,428,353,2012
85,793,433,360,2012
86,1391,750,641,2012
87,1143,645,498,2012
88,1211,663,548,2012
89,1112,627,485,2012
90,1388,736,652,2012
91,831,469,362,2012
92,956,532,424,2012
93,952,509,443,2012
94,683,388,295,2012
95,837,479,358,2012
96,1028,564,464,2012
97,1053,588,465,2012
98,990,560,430,2012
99,1000,541,459,2012
100,1279,707,572,2012
101,930,509,421,2012
102,774,439,335,2012
103,1182,666,516,2012
104,998,561,437,2012
105,748,409,339,2012
106,914,498,416,2012
107,928,519,409,2012
108,1163,621,542,2012
109,702,404,298,2012
110,769,436,333,2012
111,845,449,396,2012
112,776,433,343,2012
113,953,496,457,2012
114,1019,572,447,2012
115,970,529,441,2012
116,903,519,384,2012
117,833,427,406,2012
118,1491,808,683,2012
119,1047,582,465,2012
120,709,382,327,2012
121,1325,730,595,2012
122,676,361,315,2012
123,808,446,362,2012
124,1134,626,508,2012
125,880,478,402,2012
126,1236,677,559,2012
127,835,481,354,2012
128,900,514,386,2012
129,1062,571,491,2012
130,890,478,412,2012
131,1383,747,636,2012
132,1163,654,509,2012
133,1143,664,479,2012
134,843,468,375,2012
135,660,345,315,2012
136,783,440,343,2012
137,1610,889,721,2012
138,989,530,459,2012
139,1128,643,485,2012
140,995,534,461,2012
141,1115,585,530,2012
142,670,372,298,2012
143,1519,850,669,2012
144,1206,650,556,2012
145,1250,693,557,2012
146,734,401,333,2012
147,930,525,405,2012
148,686,360,326,2012
149,909,530,379,2012
150,1360,761,599,2012
151,796,422,374,2012
152,1236,694,542,2012
153,989,548,441,2012
154,1050,592,458,2012
155,803,434,369,2012
156,1207,694,513,2012
157,1451,791,660,2012
158,720,407,313,2012
159,778,416,362,2012
160,892,480,412,2012
161,1071,614,457,2012
162,1353,758,595,2012
163,1351,729,622,2012
164,891,497,394,2012
165,1289,697,592,2012
166,936,520,416,2012
167,1101,593,508,2012
168,959,525,434,2012
169,1168,638,530,2012
170,954,503,451,2012
171,752,417,335,2012
172,689,403,286,2012
173,1217,667,550,2012
174,725,377,348,2012
175,688,368,320,2012
176,683,361,322,2012
177,627,348,279,2012
178,1085,604,481,2012
179,894,480,414,2012
180,703,369,334,2012
181,910,495,415,2012
182,646,343,303,2012
183,1525,824,701,2012
184,665,362,303,2012
185,1366,711,655,2012
186,1099,598,501,2012
187,1464,795,669,2012
188,883,484,399,2012
189,1288,716,572,2012
190,966,526,440,2012
191,757,423,334,2012
192,938,516,422,2012
193,794,433,361,2012
194,775,444,331,2012
195,771,400,371,2012
196,953,502,451,2012
197,1290,710,580,2012
198,934,500,434,2012
199,1121,600,521,2012
200,960,539,421,2012
201,1253,724,529,2012
202,1011,550,461,2012
203,951,538,413,2012
204,1120,643,477,2012
205,1090,618,472,2012
206,847,468,379,2012
207,1109,623,486,2012
208,726,390,336,2012
209,1138,609,529,2012
210,1378,729,649,2012
211,996,555,441,2012
212,893,494,399,2012
213,653,357,296,2012
214,792,402,390,2012
215,1451,766,685,2012
216,882,525,357,2012
217,1607,883,724,2012
218,1019,547,472,2012
219,1181,656,525,2012
220,531,268,263,2012
221,960,526,434,2012
222,1221,680,541,2012
223,1117,594,523,2012
224,913,511,402,2012
225,1074,575,499,2012
226,1048,586,462,2012
227,1400,784,616,2012
228,971,548,423,2012
229,1199,672,527,2012
230,1124,610,514,2012
231,1204,698,506,2012
232,930,511,419,2012
233,628,342,286,2012
234,678,359,319,2012
235,1074,605,469,2012
236,860,478,382,2012
237,1131,623,508,2012
238,961,537,424,2012
239,983,567,416,2012
240,709,399,310,2012
241,1486,829,657,2012
242,885,481,404,2012
243,1314,737,577,2012
244,983,535,448,2012
245,1144,618,526,2012
246,720,389,331,2012
247,685,370,315,2012
248,1036,584,452,2012
249,901,497,404,2012
250,1069,561,508,2012
251,1322,731,591,2012
252,903,458,445,2012
253,921,513,408,2012
254,647,355,292,2012
255,1318,721,597,2012
256,1344,731,613,2012
257,1186,650,536,2012
258,613,343,270,2012
259,1368,757,611,2012
260,1236,685,551,2012
261,846,464,382,2012
262,830,465,365,2012
263,1251,677,574,2012
264,1220,675,545,2012
265,984,575,409,2012
266,998,540,458,2012
267,799,445,354,2012
268,1146,619,527,2012
269,1207,669,538,2012
270,927,496,431,2012
271,882,493,389,2012
272,872,477,395,2012
273,744,420,324,2012
274,967,515,452,2012
275,941,499,442,2012
276,655,337,318,2012
277,973,523,450,2012
278,954,519,435,2012
279,736,402,334,2012
280,1230,686,544,2012
281,1123,602,521,2012
282,1011,585,426,2012
283,962,536,426,2012
284,1112,603,509,2012
285,961,544,417,2012
286,963,506,457,2012
287,784,438,346,2012
288,470,270,200,2012
289,1081,577,504,2012
290,1296,700,596,2012
291,1033,559,474,2012
292,647,387,260,2012
293,1114,601,513,2012
294,1172,669,503,2012
295,870,492,378,2012
296,676,351,325,2012
297,1080,590,490,2012
298,811,422,389,2012
299,1238,686,552,2012
300,1101,633,468,2012
301,1307,760,547,2012
302,765,396,369,2012
303,986,510,476,2012
304,909,519,390,2012
305,1187,655,532,2012
306,796,435,361,2012
307,1097,598,499,2012
308,1126,610,516,2012
309,1212,676,536,2012
310,1628,886,742,2012
311,931,512,419,2012
312,790,429,361,2012
313,1043,570,473,2012
314,905,508,397,2012
315,1001,553,448,2012
316,980,529,451,2012
