"dose","mortality"
"control",1.45287766933472
"control",3.26625256848005
"control",1.17865197053252
"control",13.4003496799869
"control",3.77918270942276
"control",1.19665673682759
"control",4.42570263058927
"control",5.68780668311483
"control",4.83451760105434
"control",2.00293101017655
"control",12.3268667443891
"control",4.01422072002186
"control",1.46047163241811
"control",0.296799074137231
"control",8.37231909279976
"control",2.5988431169459
"control",2.67462647985993
"control",6.98549747527935
"control",6.17940009714273
"control",4.92291739492628
"control",6.81398672885831
"control",5.94253791611656
"control",2.92871858207706
"control",0.371817663831304
"control",5.05220988164903
"control",2.5699109807609
"control",2.32612662902177
"control",0.624532203495798
"control",1.6851421881306
"control",4.12861318571811
"low",17.4384851061589
"low",4.04391091772224
"low",6.60397414870242
"low",4.24692401372085
"low",1.13081707106345
"low",2.95945590837064
"low",3.0213690192132
"low",4.22359475572213
"low",13.4640796410797
"low",9.61357102314001
"low",3.80180671001753
"low",3.47862924078776
"low",8.99764948960895
"low",7.81983299877378
"low",2.25070681177201
"low",2.20892250654648
"low",6.45323762437574
"low",9.66521081387886
"low",4.00544140467701
"low",10.816878372238
"low",6.67324254423926
"low",2.43020011727381
"low",6.30359238940763
"low",1.44865697621004
"low",18.7843429624426
"low",32.4727052660287
"low",3.10426981516982
"low",1.57753795234628
"low",7.9226015263747
"low",3.91550924415527
"mid",99.645387691495
"mid",8.67773020422526
"mid",17.9886204805404
"mid",9.28130497094326
"mid",4.29188826502496
"mid",10.90032166679
"mid",1.48444560281135
"mid",39.077812925096
"mid",10.5197383803457
"mid",79.2503374158957
"mid",14.5197461854022
"mid",4.437333216487
"mid",16.6219872735072
"mid",3.54629135382419
"mid",2.57633178831771
"mid",12.0787321861045
"mid",5.79333504591494
"mid",9.03499482825393
"mid",9.72151357703617
"mid",5.00520841776828
"mid",5.11067386418356
"mid",7.88388958997073
"mid",29.314638435623
"mid",1.96684984527271
"mid",16.3453946948724
"mid",12.5905983307671
"mid",26.1304117530907
"mid",6.65797960799449
"mid",13.06607021031
"mid",11.7881971665202
"high",7.08145906434645
"high",40.7667910850173
"high",38.8769922080222
"high",24.5377721202349
"high",59.5510218117059
"high",21.2953007341623
"high",3.39875025347002
"high",6.86704982798823
"high",3.58008801426864
"high",7.58823759529005
"high",6.55110228173268
"high",12.7065279490786
"high",4.89923147729615
"high",14.2681356166637
"high",6.33072875107195
"high",71.3278796105054
"high",24.9458500079782
"high",30.2705178170216
"high",17.8889885334635
"high",65.5082494504712
"high",6.4511831368189
"high",7.67797061681726
"high",51.0232922139597
"high",6.35539238282955
"high",9.90083657799377
"high",8.22511329116186
"high",8.84636934594981
"high",9.21549859937221
"high",19.9691449795913
"high",10.2028747389177
"very high",10.9577014508314
"very high",69.619090962774
"very high",14.6643677911605
"very high",15.1870557547455
"very high",16.4415103983426
"very high",37.0647471783742
"very high",16.8851678721148
"very high",17.5028868211415
"very high",9.19205497473938
"very high",13.1409029421438
"very high",19.3010681788656
"very high",10.0855682284475
"very high",30.9228747324291
"very high",3.98129012274153
"very high",24.6939397873156
"very high",3.91005005795913
"very high",13.4506021311818
"very high",10.7158086554475
"very high",9.46788191269006
"very high",17.1689620575397
"very high",2.67952777146588
"very high",58.9437330659643
"very high",3.43847329674791
"very high",11.4326077172657
"very high",5.95409902991624
"very high",8.57783026632165
"very high",146.520675124358
"very high",18.4930617221643
"very high",5.02135325239426
"very high",3.5232873695209
